Time,Alt,Eta,Mass,rLSx,rLSy,rLSz,vLSx,vLSy,vLSz
0.00000000000000000000,15000.00000000069849193096,1.00000000000000000000,20000.00000000000000000000,-44968.47010648297145962715,-455862.98110910697141662240,-28350.74291757102400879376,453.05579571627112045462,1627.58316150576365544111,84.22046295658049075428,
16.04227508098463417241,15046.86532429768703877926,0.99999999999999988898,19649.22854180721697048284,-38363.75975535390898585320,-430687.24544292641803622246,-27049.71465890624313033186,421.48590755728372414524,1582.36658908737263118383,82.13847938354318500842,
32.08455016196926834482,15170.15577812818810343742,1.00000000000000000000,19298.45708361443394096568,-32248.65327835339121520519,-406229.57087036670418456197,-25781.70340273067267844453,390.45148091877052820564,1535.76664385888739161601,79.99866871255828471021,
48.12682524295389896452,15349.98365120124071836472,0.99999999999999988898,18947.68562542165091144852,-26612.30141975823789834976,-382512.00982743495842441916,-24547.16502186585057643242,360.26885756066519661545,1487.73028646974489674903,77.85839392375802958668,
64.16910032393853668964,15569.51955912122502923012,1.00000000000000000000,18596.91416722886788193136,-21441.09420886589214205742,-359557.11555184441385790706,-23345.69827023904508678243,330.97470083230194859425,1438.24652011948819563258,75.76988949639373061018,
80.21137540492317441476,15813.20497781573794782162,1.00000000000000000000,18246.14270903608485241421,-16720.50528082624077796936,-337387.59382590517634525895,-22177.03285871560001396574,302.64952420824567980162,1387.30683614644999579468,73.66417584185910527594,
96.25365048590779792903,16066.35483981482684612274,0.96750498850810873197,17901.07041212767944671214,-12434.23030009795911610126,-316018.90893957484513521194,-21041.64878728012627107091,275.44015849071968204953,1335.84569312920393713284,71.51429512068132510194,
112.29592556689243565415,16314.17494237166829407215,0.93247945827716216538,17567.84025466179446084425,-8564.26229496975429356098,-295450.89919357502367347479,-19939.14620207955886144191,249.41748432962941706137,1284.92668520163647372101,69.45970969325531996219,
128.33820064787707337928,16542.51866144174709916115,0.89982697294953817302,17246.47985529884317656979,-5092.07456603413447737694,-275674.21636306325672194362,-18867.59077578352662385441,224.57707723823412493402,1234.66087425051364334649,67.55716614686194532169,
144.38047572886171110440,16738.78077887953259050846,0.86912622358904290110,16936.23070918904340942390,-1999.43619707925245165825,-256678.76963466184679418802,-17825.23164878997340565547,200.88554071222677066544,1185.03215116533215223171,65.72645836671416930130,
160.42275080984634882952,16891.74760833894833922386,0.83998091931531415621,16636.47770682395275798626,731.36015851097181439400,-238454.58973499041167087853,-16811.56354909473884617910,178.30932383764923088165,1136.04108406899717920169,63.88852257112252885918,
176.46502589083098655465,16991.68477012822404503822,0.81223877327632920675,16346.70195140654504939448,3117.71916526346467435360,-220991.64263898602803237736,-15826.37353648882526613306,156.84327439421048211443,1087.69538445948387561657,62.08504288047673469464,
